# Team-labeled independent core evaluation; source questions are Q001-Q028.
# ID | QUESTION | INTENT | ENTITY | QUERY_STATUS | REQUIRED_ANSWER_TERMS
# Multiple required fragments are separated with ;;. They are evidence checks,
# not a complete reference answer. Dialogue Q029-Q034 is evaluated separately.

Q001 | Môn NLP có bao nhiêu tín chỉ? | GET_COURSE_INFO | CO3085 | FOUND | 3 tín chỉ
Q002 | CO3085 có mấy tín chỉ? | GET_COURSE_INFO | CO3085 | FOUND | 3 tín chỉ
Q003 | Môn học gồm những phần nào? | GET_COURSE_INFO | CO3085 | FOUND | Part I;;Part II;;Part III
Q004 | Tuần 3 học gì? | GET_SCHEDULE | WEEK_03 | FOUND | Tuần 3;;Chương 3;;context-free grammar
Q005 | Chương 4 học vào tuần nào? | GET_SCHEDULE | CH04 | FOUND | tuần 4;;tuần 5
Q006 | Chương nào nói về CFG? | GET_TOPIC | CFG | FOUND | Chương 3
Q007 | PCFG được học ở đâu? | GET_TOPIC | PCFG | FOUND | Chương 3;;Chương 6;;tuần 3;;tuần 7
Q008 | Chương nào nói về semantic grammar? | GET_TOPIC | SEMANTIC_GRAMMAR | FOUND | Chương 10
Q009 | L.O.2.5 là gì? | GET_LO | LO2.5 | FOUND | LO2.5;;xác suất
Q010 | L.O.4.2 liên quan đến nội dung nào? | GET_LO | LO4.2 | FOUND | LO4.2;;ngữ cảnh
Q011 | Bài tập lớn yêu cầu xây dựng những gì? | GET_ASSIGNMENT | BTL01 | FOUND | hệ thống xử lý câu hỏi;;PART I;;PART II
Q012 | Phần I của bài tập lớn là gì? | GET_ASSIGNMENT | PART_I | FOUND | PART I;;Grammar and Parser
Q013 | Bài tập lớn có phần hỏi đáp không? | GET_ASSIGNMENT | PART_II | FOUND | Có.;;PART II;;QA
Q014 | Có được dùng LLM/RAG không? | GET_RULE | LLM_RAG | FOUND | LLM/RAG;;mở rộng
Q015 | Quy định về sử dụng AI là gì? | GET_RULE | AI_USAGE | FOUND | khai báo;;AI
Q016 | Midterm bao nhiêu phút? | GET_COURSE_INFO | MIDTERM | FOUND | 60 minutes
Q017 | Final bao nhiêu phút? | GET_COURSE_INFO | FINAL | FOUND | 90 minutes
Q018 | Tài liệu tham khảo về statistical NLP là gì? | GET_RESOURCE | STATISTICAL_NLP | FOUND | Jacob Eisenstein;;Christopher D. Manning
Q019 | Tài liệu nào liên quan đến Python NLP? | GET_RESOURCE | PYTHON_NLP | FOUND | Natural Language Processing with Python
Q020 | Chương 12 nói về gì? | GET_TOPIC | CH12 | FOUND | Chương 12;;discourse context
Q021 | Chương nào học về reference? | GET_TOPIC | REFERENCE | FOUND | Chương 12
Q022 | Chương nào học về question answering? | GET_TOPIC | QUESTION_ANSWERING | FOUND | Chương 11
Q023 | Chương nào học về selectional restriction? | GET_TOPIC | SELECTIONAL_RESTRICTION | FOUND | Chương 9
Q024 | Chương 10 có những phương pháp gì? | GET_TOPIC | CH10 | FOUND | Template matching;;Semantic grammars
Q025 | Chương 11 có liên quan đến hỏi đáp không? | GET_TOPIC | CH11 | FOUND | Có.;;11.5;;question answering
Q026 | Hôm nay ở TP.HCM có mưa không? | UNKNOWN | OUT_OF_SCOPE | OUT_OF_SCOPE | ngoài văn phạm
Q027 | Ai là tổng thống của Pháp? | UNKNOWN | OUT_OF_SCOPE | OUT_OF_SCOPE | ngoài văn phạm
Q028 | Hãy giải bài tập xác suất này giúp tôi. | UNKNOWN | OUT_OF_SCOPE | OUT_OF_SCOPE | ngoài văn phạm
